p_code,province,c_code,city,a_code,area
11,北京市,1101,北京市,110101,东城区
11,北京市,1101,北京市,110102,西城区
11,北京市,1101,北京市,110103,朝阳区
11,北京市,1101,北京市,110104,丰台区
11,北京市,1101,北京市,110105,石景山区
11,北京市,1101,北京市,110106,海淀区
11,北京市,1101,北京市,110107,门头沟区
11,北京市,1101,北京市,110108,房山区
11,北京市,1101,北京市,110109,通州区
11,北京市,1101,北京市,110110,顺义区
11,北京市,1101,北京市,110111,昌平区
11,北京市,1101,北京市,110112,大兴区
11,北京市,1101,北京市,110113,平谷区
11,北京市,1101,北京市,110114,怀柔区
11,北京市,1101,北京市,110115,密云县
11,北京市,1101,北京市,110116,延庆县
12,天津市,1201,天津市,120101,和平区
12,天津市,1201,天津市,120102,河东区
12,天津市,1201,天津市,120103,河西区
12,天津市,1201,天津市,120104,南开区
12,天津市,1201,天津市,120105,河北区
12,天津市,1201,天津市,120106,红桥区
12,天津市,1201,天津市,120107,滨海新区
12,天津市,1201,天津市,120108,东丽区
12,天津市,1201,天津市,120109,西青区
12,天津市,1201,天津市,120110,津南区
12,天津市,1201,天津市,120111,北辰区
12,天津市,1201,天津市,120112,武清区
12,天津市,1201,天津市,120113,宝坻区
12,天津市,1201,天津市,120114,宁河县
12,天津市,1201,天津市,120115,静海县
12,天津市,1201,天津市,120116,蓟县
13,河北省,1301,石家庄市,130101,长安区
13,河北省,1301,石家庄市,130102,桥东区
13,河北省,1301,石家庄市,130103,桥西区
13,河北省,1301,石家庄市,130104,新华区
13,河北省,1301,石家庄市,130105,井陉矿区
13,河北省,1301,石家庄市,130106,井陉县
13,河北省,1301,石家庄市,130107,正定县
13,河北省,1301,石家庄市,130108,栾城县
13,河北省,1301,石家庄市,130109,行唐县
13,河北省,1301,石家庄市,130110,灵寿县
13,河北省,1301,石家庄市,130111,高邑县
13,河北省,1301,石家庄市,130112,深泽县
13,河北省,1301,石家庄市,130113,赞皇县
13,河北省,1301,石家庄市,130114,无极县
13,河北省,1301,石家庄市,130115,平山县
13,河北省,1301,石家庄市,130116,元氏县
13,河北省,1301,石家庄市,130117,赵县
13,河北省,1301,石家庄市,130118,辛集市
13,河北省,1301,石家庄市,130119,藁城市
13,河北省,1301,石家庄市,130120,晋州市
13,河北省,1301,石家庄市,130121,新乐市
13,河北省,1301,石家庄市,130122,鹿泉市
13,河北省,1301,石家庄市,130123,裕华区
13,河北省,1302,唐山市,130201,路南区
13,河北省,1302,唐山市,130202,路北区
13,河北省,1302,唐山市,130203,古冶区
13,河北省,1302,唐山市,130204,开平区
13,河北省,1302,唐山市,130205,丰润区
13,河北省,1302,唐山市,130206,滦县
13,河北省,1302,唐山市,130207,滦南县
13,河北省,1302,唐山市,130208,乐亭县
13,河北省,1302,唐山市,130209,迁西县
13,河北省,1302,唐山市,130210,玉田县
13,河北省,1302,唐山市,130211,曹妃甸区
13,河北省,1302,唐山市,130212,遵化市
13,河北省,1302,唐山市,130213,丰南区
13,河北省,1302,唐山市,130214,迁安市
13,河北省,1303,秦皇岛市,130301,海港区
13,河北省,1303,秦皇岛市,130302,山海关区
13,河北省,1303,秦皇岛市,130303,北戴河区
13,河北省,1303,秦皇岛市,130304,青龙满族自治县
13,河北省,1303,秦皇岛市,130305,昌黎县
13,河北省,1303,秦皇岛市,130306,抚宁县
13,河北省,1303,秦皇岛市,130307,卢龙县
13,河北省,1304,邯郸市,130401,磁县
13,河北省,1304,邯郸市,130402,丛台区
13,河北省,1304,邯郸市,130403,复兴区
13,河北省,1304,邯郸市,130404,峰峰矿区
13,河北省,1304,邯郸市,130405,临漳县
13,河北省,1304,邯郸市,130406,成安县
13,河北省,1304,邯郸市,130407,大名县
13,河北省,1304,邯郸市,130408,涉县
13,河北省,1304,邯郸市,130409,肥乡县
13,河北省,1304,邯郸市,130410,永年县
13,河北省,1304,邯郸市,130411,邱县
13,河北省,1304,邯郸市,130412,鸡泽县
13,河北省,1304,邯郸市,130413,广平县
13,河北省,1304,邯郸市,130414,馆陶县
13,河北省,1304,邯郸市,130415,魏县
13,河北省,1304,邯郸市,130416,曲周县
13,河北省,1304,邯郸市,130417,武安市
13,河北省,1305,邢台市,130501,桥东区
13,河北省,1305,邢台市,130502,桥西区
13,河北省,1305,邢台市,130503,邢台县
13,河北省,1305,邢台市,130504,临城县
13,河北省,1305,邢台市,130505,内丘县
13,河北省,1305,邢台市,130506,柏乡县
13,河北省,1305,邢台市,130507,隆尧县
13,河北省,1305,邢台市,130508,任县
13,河北省,1305,邢台市,130509,南和县
13,河北省,1305,邢台市,130510,宁晋县
13,河北省,1305,邢台市,130511,巨鹿县
13,河北省,1305,邢台市,130512,新河县
13,河北省,1305,邢台市,130513,广宗县
13,河北省,1305,邢台市,130514,平乡县
13,河北省,1305,邢台市,130515,威县
13,河北省,1305,邢台市,130516,清河县
13,河北省,1305,邢台市,130517,临西县
13,河北省,1305,邢台市,130518,南宫市
13,河北省,1305,邢台市,130519,沙河市
13,河北省,1306,保定市,130601,新市区
13,河北省,1306,保定市,130602,北市区
13,河北省,1306,保定市,130603,南市区
13,河北省,1306,保定市,130604,满城县
13,河北省,1306,保定市,130605,清苑县
13,河北省,1306,保定市,130606,涞水县
13,河北省,1306,保定市,130607,阜平县
13,河北省,1306,保定市,130608,徐水县
13,河北省,1306,保定市,130609,定兴县
13,河北省,1306,保定市,130610,唐县
13,河北省,1306,保定市,130611,高阳县
13,河北省,1306,保定市,130612,容城县
13,河北省,1306,保定市,130613,涞源县
13,河北省,1306,保定市,130614,望都县
13,河北省,1306,保定市,130615,安新县
13,河北省,1306,保定市,130616,易县
13,河北省,1306,保定市,130617,曲阳县
13,河北省,1306,保定市,130618,蠡县
13,河北省,1306,保定市,130619,顺平县
13,河北省,1306,保定市,130620,博野县
13,河北省,1306,保定市,130621,雄县
13,河北省,1306,保定市,130622,涿州市
13,河北省,1306,保定市,130623,定州市
13,河北省,1306,保定市,130624,安国市
13,河北省,1306,保定市,130625,高碑店市
13,河北省,1307,张家口市,130701,桥东区
13,河北省,1307,张家口市,130702,桥西区
13,河北省,1307,张家口市,130703,宣化县
13,河北省,1307,张家口市,130704,下花园区
13,河北省,1307,张家口市,130705,张北县
13,河北省,1307,张家口市,130706,康保县
13,河北省,1307,张家口市,130707,沽源县
13,河北省,1307,张家口市,130708,尚义县
13,河北省,1307,张家口市,130709,蔚县
13,河北省,1307,张家口市,130710,阳原县
13,河北省,1307,张家口市,130711,怀安县
13,河北省,1307,张家口市,130712,万全县
13,河北省,1307,张家口市,130713,怀来县
13,河北省,1307,张家口市,130714,涿鹿县
13,河北省,1307,张家口市,130715,赤城县
13,河北省,1307,张家口市,130716,崇礼县
13,河北省,1308,承德市,130801,双桥区
